HGNC symbol;MODE;median (nearest phylostratum)
MIR31;#N/A;10
MIR3115;#N/A;17
MIR3117;#N/A;19.2
MIR3119-2;#N/A;19.2
MIR3121;#N/A;19.2
MIR3127;#N/A;19.2
MIR3133;#N/A;19.2
MIR3134;#N/A;19.2
MIR3135A;#N/A;19.2
MIR3138;#N/A;19.2
MIR3139;#N/A;19.2
MIR3140;#N/A;19.2
MIR3142HG;#N/A;12
MIR3145;#N/A;19.2
MIR3147;#N/A;19.2
MIR3148;#N/A;19.2
MIR3152;#N/A;19.2
MIR3156-1;#N/A;19.2
MIR3156-2;#N/A;19.2
MIR3157;#N/A;19.2
MIR3158-2;#N/A;19.2
MIR3160-1;#N/A;19.2
MIR3164;#N/A;19.2
MIR3169;#N/A;19.2
MIR3170;#N/A;19.2
MIR3173;#N/A;19.2
MIR3179-2;#N/A;19.2
MIR3179-3;#N/A;19.2
MIR3180-1;#N/A;17
MIR3180-2;#N/A;17
MIR3180-3;#N/A;17
MIR3180-4;#N/A;17
MIR3180-5;#N/A;17
MIR3184;#N/A;19.1
MIR3187;#N/A;19.2
MIR3188;#N/A;19.2
MIR3190;#N/A;19.2
MIR3192;#N/A;19.2
MIR3193;#N/A;19.2
MIR3197;#N/A;19.2
MIR3198-1;#N/A;19.2
MIR32;#N/A;14
MIR3200;#N/A;19.1
MIR320A;#N/A;17
MIR320B1;#N/A;19.2
MIR320B2;#N/A;19.2
MIR320C1;#N/A;19.2
MIR320C2;#N/A;19.2
MIR320D1;#N/A;19.2
MIR320D2;#N/A;19.2
MIR320E;#N/A;19.2
MIR323A;#N/A;17
MIR323B;#N/A;17
MIR324;#N/A;17
MIR325;#N/A;19.2
MIR326;#N/A;17
MIR328;#N/A;15.1
MIR329-1;#N/A;19.2
MIR331;#N/A;17
MIR335;#N/A;17
MIR337;#N/A;18
MIR339;#N/A;17
MIR33A;#N/A;10
MIR33B;#N/A;10
MIR340;#N/A;15.2
MIR342;#N/A;17
MIR345;#N/A;17
MIR346;#N/A;17
MIR34B;#N/A;11
MIR34C;#N/A;11
MIR3529;#N/A;19.2
MIR3591;#N/A;12
MIR3606;#N/A;19.2
MIR361;#N/A;17
MIR3610;#N/A;19.1
MIR3613;#N/A;19.1
MIR3614;#N/A;19.2
MIR3617;#N/A;19.2
MIR3618;#N/A;17
MIR362;#N/A;19.2
MIR3621;#N/A;19.2
MIR3653;#N/A;19.2
MIR3654;#N/A;12
MIR3656;#N/A;19.2
MIR365A;#N/A;12
MIR3661;#N/A;17
MIR3666;#N/A;19.1
MIR3667;#N/A;19.2
MIR367;#N/A;14
MIR3671;#N/A;19.2
MIR3677;#N/A;19.2
MIR3680-1;#N/A;19.2
MIR3680-2;#N/A;19.2
MIR3682;#N/A;19.2
MIR3685;#N/A;19.2
MIR3688-1;#N/A;19.2
MIR369;#N/A;17
MIR370;#N/A;17
MIR371A;#N/A;14
MIR372;#N/A;14
MIR374A;#N/A;17
MIR374B;#N/A;17
MIR375;#N/A;12
MIR377;#N/A;17
MIR378A;#N/A;15.1
MIR378B;#N/A;15.1
MIR378D1;#N/A;15.1
MIR378E;#N/A;15.1
MIR378G;#N/A;19.2
MIR379;#N/A;19.2
MIR380;#N/A;19.2
MIR381;#N/A;17
MIR383;#N/A;14
MIR3913-1;#N/A;19.2
MIR3917;#N/A;19.2
